Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Supervisor number,Interviewer number,Day of interview
1.0,3.0,4.0,1.0,3.0,4.0,22.0,20.0,22.0,30.0
1.0,7.0,1.0,1.0,7.0,1.0,22.0,20.0,22.0,26.0
1.0,9.0,1.0,1.0,9.0,1.0,22.0,20.0,22.0,25.0
1.0,13.0,1.0,1.0,13.0,1.0,22.0,20.0,22.0,5.0
1.0,17.0,3.0,1.0,17.0,3.0,21.0,20.0,21.0,5.0
1.0,19.0,1.0,1.0,19.0,1.0,21.0,20.0,21.0,8.0
1.0,19.0,5.0,1.0,19.0,5.0,21.0,20.0,21.0,31.0
1.0,21.0,1.0,1.0,21.0,1.0,21.0,20.0,21.0,8.0
1.0,25.0,1.0,1.0,25.0,1.0,21.0,20.0,21.0,27.0
2.0,2.0,1.0,2.0,2.0,1.0,12.0,10.0,12.0,14.0
2.0,4.0,2.0,2.0,4.0,2.0,12.0,10.0,12.0,14.0
2.0,4.0,4.0,2.0,4.0,4.0,12.0,10.0,12.0,14.0
2.0,6.0,1.0,2.0,6.0,1.0,12.0,10.0,12.0,14.0
2.0,8.0,3.0,2.0,8.0,3.0,12.0,10.0,12.0,17.0
2.0,10.0,1.0,2.0,10.0,1.0,12.0,10.0,12.0,14.0
2.0,18.0,1.0,2.0,18.0,1.0,13.0,10.0,13.0,14.0
2.0,18.0,4.0,2.0,18.0,4.0,13.0,10.0,13.0,14.0
2.0,20.0,1.0,2.0,20.0,1.0,13.0,10.0,13.0,14.0
2.0,22.0,1.0,2.0,22.0,1.0,13.0,10.0,13.0,14.0
2.0,26.0,1.0,2.0,26.0,1.0,13.0,10.0,13.0,14.0
3.0,2.0,2.0,3.0,2.0,2.0,13.0,10.0,13.0,31.0
3.0,4.0,3.0,3.0,4.0,3.0,13.0,10.0,13.0,17.0
3.0,6.0,3.0,3.0,6.0,3.0,13.0,10.0,13.0,15.0
3.0,8.0,1.0,3.0,8.0,1.0,13.0,10.0,13.0,17.0
3.0,12.0,1.0,3.0,12.0,1.0,13.0,10.0,13.0,17.0
3.0,14.0,3.0,3.0,14.0,3.0,12.0,10.0,12.0,15.0
3.0,16.0,4.0,3.0,16.0,4.0,12.0,10.0,12.0,17.0
3.0,22.0,3.0,3.0,22.0,3.0,12.0,10.0,12.0,3.0
4.0,2.0,1.0,4.0,2.0,1.0,12.0,10.0,12.0,21.0
4.0,6.0,4.0,4.0,6.0,4.0,12.0,10.0,12.0,22.0
4.0,8.0,1.0,4.0,8.0,1.0,13.0,10.0,13.0,29.0
4.0,8.0,4.0,4.0,8.0,4.0,13.0,10.0,13.0,29.0
4.0,8.0,7.0,4.0,8.0,7.0,13.0,10.0,13.0,29.0
4.0,10.0,1.0,4.0,10.0,1.0,12.0,10.0,12.0,21.0
4.0,12.0,1.0,4.0,12.0,1.0,12.0,10.0,12.0,21.0
4.0,16.0,1.0,4.0,16.0,1.0,13.0,10.0,13.0,29.0
4.0,24.0,2.0,4.0,24.0,2.0,13.0,10.0,13.0,24.0
5.0,1.0,1.0,5.0,1.0,1.0,13.0,10.0,13.0,24.0
5.0,3.0,1.0,5.0,3.0,1.0,13.0,10.0,13.0,22.0
5.0,9.0,1.0,5.0,9.0,1.0,13.0,10.0,13.0,22.0
5.0,11.0,1.0,5.0,11.0,1.0,13.0,10.0,13.0,22.0
